Device UUID,15df3006c1fd6a872dd09fd494d8972551e9edfb,1936c5d8a39878502a402b026257517354249533,1f84dd6ec11d49a5506f95da8bbc2d2e80b4bf51,2970d961ac57aa8f424bf082b90ece4eb5cca6f1,2ca7b4c5157d880a5cd2a7fd7fd80c2c34d82b7c,31658624595a1c97cc469a33259632e374f08a81,3535e75f8807b0a081319e66a3561be704f5f5c0,3883d4638eac9c8c5681dfcafcd8571fb1d0faf6,3bb6af7e10f92f13cecb0565c74a58afef54a971,4dfafeeedf282ef255d579d1eb38104f9ba7c0b6,57d9e8412f8a6d5365adb1151b05c00958a71be9,584fcc9a47fbb68e097acb44573265cbbe6ec34b,59bc166b30f873f81d66aef44ceda7cdebf844d8,5aeb9a974d746aa3e37ab24d3979109e850e113c,63d4b5362b4241d1142a8d9a070dea35282b7dd5,69201465f8edbfb9d9167809facb486de6218936,6f77086609327ca4e64c227666ede1087547784b,7273ae291ca82d89bbcb31da168ed5b077c54a7b,73927a1d8bb9a6ca103fef69f4fda0678aef0a59,76185d7c35f3d085c9ed928dbcf97cc0511c77e2,7e472154cf6c771066b851d78a14f3f13ce983ca,80b1560aba25f5bb06b5efac80aa27b6504f4fa5,83018552de7f93fe6a0461733a8a8d3aa3b9885d,86b06f8b0f8238b1ba4f3fb1b86ba69526b24381,8b8be777f29612bb7a1f97d15977e580a4223527,8d753942ac00d49293f752ac9a05a20f8146c908,8e2f673083fc3589220035e78e8aeff73af15264,8edb2674fd6bc8713df8ed2fb038b61287ffd198,901ccda9ba5405edc897dc143db75b12cc362f93,9255a5a722608a14f27b5f365120e9d4706736ec,958fc107780bf16c8c6a1ef70259ae0a844337ae,9e48a01a0602daa2d2d413e2545121901bcaf77d,a31d9c5f5a47e732ccf2b1035297befa85159f9f,a694ecdfa9f4e32ef602f1e5847b8e9649a34558,a6bb791f00fa046a34f5fb3bd71664ab3289aa63,b1e20256a6b03a1b27c02d1b90f3933f570bf497,b29e6e2e465bf2bf1bcf011b49a5989e16baf76f,bb81db56d7d7010bc144c463bc5f9554b3d44ad9,be8232eb7bc55e60959cd3b4612eb3bab43723a4,c2d65d3e5e720b6354e76e080a88f824a9ef0016,c7ceb1cbb38bdbab805cfecef82117953b33c4e2,c8baf3ae869829f3845a38f29cc0f8866305fb88,cac043af1c0f8e479dbd681f220b50f2d36712d3,cbd4972381235fc9f9503f129ed783000d7a6502,cc397499c8d3eb673b0d431081c284030e55aab2,cd76278c59aed08e407bde8003108ad69418778a,ce3b65d5584502afbfba80935b45489b8d287a05,da351c2c65806864e48559d5cf359339b68a0807,dbcae9887b3af72c559fc9acda9340944a1774bb,dec6f483fbf0726695fe0b417f5f531ee7c5f96f,defff899685e2dea8b489cfc2397f0dc7380a437,e2a684a0207efa28c7cbc450a96f9b152c505a4f,e366fec827ba3a72bb2cb74f9003a3f34a819695,ea0bd0ed69021110fc12798eccf2ecde5c678ee7,ed1c99c9f969f4b6b96a80cf7d30f70e700afdd8,eed3808b58fbca62608fc4b5a075bf0238e3d111,f527e8f012072e0ae4f8c0b01f4653e7c1c0ddff,fa4f0ea1b347768b30cbeea82307c34cd1e3489c,fde723d48136afe4e996961a2d44c9752f364ef9
Reading Type,volume,electricityConsumption,electricityConsumption,electricityConsumption,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureAir,temperatureAmbient,electricityConsumption,temperatureRadiant,temperatureRadiant,temperatureAmbient,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,temperatureRadiant,relativeHumidity,temperatureRadiant,temperatureRadiant,temperatureAir,electricityConsumption,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,volume,volume,relativeHumidity,calorificValue,temperatureRadiant,temperatureRadiant,temperatureRadiant,temperatureRadiant,temperatureRadiant,temperatureRadiant,electricityConsumption,electricityConsumption,temperatureRadiant,temperatureRadiant,volume,temperatureRadiant,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant
Customer Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Engine gas meter (L),Electricity Meter 3 (Wh),DHW heat meter (Wh),Third Heat Meter (Wh),Extra temperature sensor 5 (°C),Heat Pump Source Balance (Wh),Extra temperature sensor 6 (°C),Underfloor flow temperature (°C),Heat Pump Sink Balance (Wh),Gas Line temperature (°C),Lounge temperature (°C),Ground Ambient Temperature (°C),Fourth Heat Meter (Wh),DHW Tank Temperature (°C),Gas Boiler Flow temperature (°C),Ambient temperature (°C),Extra temperature sensor 7 (°C),Central Heating Heat Meter (Wh),Central Heating Flow Temperature (°C),Extra Temperature Sensor 1 (°C),Electricity Meter 4 (kWh),Ground Source Flow temperature (°C),Gas Boiler Return temperature (°C),Heat Pump Heat Meter 1 (Wh),Heat Pump Return Temperature (°C),DHW Heat Cross Check (Wh),Air Off Exhaust Temperature (°C),Underfloor Return Temperature (°C),Heat Pump Evaporator Air On Temperature (°C),Humidity in duct (%),Central Heating Buffer Tank temperature (°C),DHW flow temperature (°C),Upstairs temperature (°C),Second Heat Meter (Wh),Immersion Heater Electricity Use (Wh),DHW temperature (°C),Heat Pump Evaporator Air Off Temperature (°C),Electricity Meter 2 (Wh),DHW volume (L),Heating Volume (L),Ambient humidity (%),Calorific value (MJ/m3),Cylinder 1 Environmental Temperature (°C),Extra Temperature Sensor 4 (°C),DHW return temperature (°C),Heat Pump Flow Temperature (°C),Cold Feed DHW Temperature (°C),Extra temperature sensor 8 (°C),Heat Pump Electricity Meter (Wh),Heat Pump Heat Meter 2 (Wh),Extra Temperature Sensor 2 (°C),Central Heating Return Temperature (°C),DHW volume heated (L),Air On Exhaust Temperature (°C),Ambient temp in duct (°C),Extra Temperature Sensor 3 (°C),Circulation Pump Electricity Meter (Wh),Gas Boiler Flue temperature (°C),Ground Source Return Temperature (°C)
Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy (percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Interval (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,INSTANT,CUMULATIVE,CUMULATIVE,CUMULATIVE,INSTANT,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT
Parent UUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor Range Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor Range Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-11T00:00:00.000Z,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2011-06-11T00:05:00.000Z,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
